ResponseId,lgo_1,lgo_2,lgo_3,lgo_4,lgo_5,ppgo_1,ppgo_2,ppgo_3,ppgo_4,pago_1,pago_2,pago_3,pago_4,ti_go_First Click,ti_go_Last Click,ti_go_Page Submit,ti_go_Click Count,leadid_1,leadid_2,leadid_3,leadid_4,senpow_1,senpow_2,senpow_3,senpow_4,senpow_5,senpow_6,senpow_7,senpow_8,ti_senpow_First Click,ti_senpow_Last Click,ti_senpow_Page Submit,ti_senpow_Click Count,trpr_1,trpr_2,trpr_3,trpr_4,trpr_5,trpr_6,trpr_7,trpr_8,ti_trpr_First Click,ti_trpr_Last Click,ti_trpr_Page Submit,ti_trpr_Click Count,gsel_1,gsel_2,gsel_3,gsel_4,gsel_5,gsel_6,ti_gsel_First Click,ti_gsel_Last Click,ti_gsel_Page Submit,ti_gsel_Click Count,loco_1,loco_2,loco_3,loco_4,loco_5,loco_6,loco_7,loco_8,loco_9,loco_10,loco_11,loco_12,assess_1,assess_2,assess_3,assess_4,assess_5,assess_6,assess_7,assess_8,assess_9,assess_10,assess_11,assess_12,ti_regfoc_First Click,ti_regfoc_Last Click,ti_regfoc_Page Submit,ti_regfoc_Click Count,claim_1,claim_2,claim_3,claim_4,claim_5,grant_1,grant_2,grant_3,grant_4,grant_5,ti_clagra_First Click,ti_clagra_Last Click,ti_clagra_Page Submit,ti_clagra_Click Count,extra_1,extra_2,extra_3,extra_4,extra_5,extra_6,extra_7,extra_8,extra_9,extra_10,ti_extra_First Click,ti_extra_Last Click,ti_extra_Page Submit,ti_extra_Click Count,pace_1,ti_pace_First Click,ti_pace_Last Click,ti_pace_Page Submit,ti_pace_Click Count,grw_1,fix_1,grw_2,fix_2,fix_3,grw_3,grw_4,fix_4,ti_ent_First Click,ti_ent_Last Click,ti_ent_Page Submit,ti_ent_Click Count,impos_1,impos_2,impos_3,impos_4,impos_5,ti_impos_First Click,ti_impos_Last Click,ti_impos_Page Submit,ti_impos_Click Count,ti_pdo_First Click,ti_pdo_Last Click,ti_pdo_Page Submit,ti_pdo_Click Count,pdo_1,pdo_2,pdo_3,pdo_4,pdo_5,pdo_6,pdo_7,pdo_8,checkis5,sstatus_1,sstatus_2,sstatus_3,sstatus_4,sstatus_5,ti_sstat_First Click,ti_sstat_Last Click,ti_sstat_Page Submit,ti_sstat_Click Count,pas_1,pas_2,pas_3,pas_4,pas_5,pas_6,pas_7,pas_8,pas_9,pas_10,nas_1,nas_2,nas_3,nas_4,nas_5,nas_6,nas_7,nas_18,nas_9,nas_10,ti_panas_First Click,ti_panas_Last Click,ti_panas_Page Submit,ti_panas_Click Count,gse_1,gse_2,gse_3,gse_4,gse_5,gse_6,gse_7,gse_8,ti_gse_First Click,ti_gse_Last Click,ti_gse_Page Submit,ti_gse_Click Count,voieff_1,voieff_2,voieff_3,voieff_4,voieff_5,voieff_6,ti_voieff_First Click,ti_voieff_Last Click,ti_voieff_Page Submit,ti_voieff_Click Count,creaid_1,creaid_2,creaid_3,crse_1,crse_2,crse_3,ti_crse_First Click,ti_crse_Last Click,ti_crse_Page Submit,ti_crse_Click Count,sdes_1,sdes_2,sdes_3,sdes_4,sdes_5,sdes_6,sdes_7,sdes_8,sdes_9,sdes_10,checkis6,ti_sdes_First Click,ti_sdes_Last Click,ti_sdes_Page Submit,ti_sdes_Click Count,male,age,firstgen,wei,tall_1,tall_2,race,engl,lang,gpa,predi1,predi2_1,predi2_2,wexp,supexp,exc,ppo,soft,regr,corr,mmed,Sections
R_7pKN6mN761yWDKP,5,5,5,5,4,4,4,5,4,5,5,4,4,2.926,17.615,18.477,13,4,4,4,4,4,4,4,4,6,4,4,4,6.078,38.664,39.878,8,4,5,5,5,5,4,3,3,2.577,26.065,26.94,12,4,5,4,4,4,4,3.601,8.006,9.254,6,4,4,4,4,5,3,4,3,3,4,4,4,5,4,5,4,4,4,5,5,4,5,4,5,2.227,32.74,34.268,29,5,5,5,5,5,5,4,5,5,5,5.211,12.657,17.601,10,5,4,5,4,5,5,4,5,4,4,3.755,13.641,14.823,10,4,24.906,24.906,25.892,1,4,4,4,4,4,4,4,4,1.812,19.516,29.201,9,4,4,5,5,5,12.207,40.109,41.369,5,2.696,11.35,12.173,10,4,4,4,4,4,4,4,4,4,4,4,5,5,4,2.017,14.05,16.079,6,4,4,4,4,4,4,4,2,3,3,4,3,2,4,4,4,1,2,2,1,5.143,46.553,47.324,21,4,4,4,4,4,4,4,4,6.492,17.269,18.172,8,5,5,5,5,5,5,4.356,9.439,10.524,6,5,5,5,5,5,5,2.686,14.231,15.764,6,3,6,6,4,3,6,3,6,6,6,6,5.379,52.205,53.067,12,0,18,0,125,5,2,4,4,2,3.08,80,7,6,0,3,4,4,3,3,3,2,Spring 2025 OBHR 33000-008 LEC
R_5Cmo4EnLrQyivMB,6,6,6,5,6,5,6,6,6,5,2,5,5,9.265,106.28,107.725,19,7,6,6,5,5,4,6,3,6,3,4,2,4.569,31.488,34.545,10,5,5,5,4,7,6,5,3,11.007,37.755,38.613,10,3,6,6,7,7,6,6.116,29.881,31.089,8,6,3,5,5,5,4,5,4,2,6,5,5,1,6,6,6,2,7,5,5,6,5,4,2,8.237,124.936,126.762,28,7,7,7,7,7,6,6,6,6,5,6.257,37.306,38.435,14,2,3,2,2,4,5,6,3,5,2,8.137,47.101,48.294,11,4,10.008,10.008,10.963,1,7,2,7,1,6,6,5,1,12.331,54.384,62.112,11,5,6,5,4,6,6.198,30.147,31.521,6,10.889,69.956,71.697,11,2,6,5,1,1,2,4,1,5,5,4,6,4,6,3.549,25.986,27.071,8,3,4,4,4,3,2,4,3,3,3,2,3,3,2,4,4,4,3,1,1,13.915,61.919,66.797,22,6,6,6,7,6,7,6,7,6.695,37.444,38.401,9,7,6,6,6,7,7,24.376,50.559,50.937,10,7,1,7,7,7,7,7.975,26.591,27.366,7,3,6,7,3,7,5,1,1,2,2,6,7.083,66.151,66.793,16,1,22,0,150,6,2.5,1,4,1,3.36,87,6,4,1,0,4,3,3,4,3,3,Spring 2025 OBHR 33000-006 LEC
R_6ZJ4wUqbxLlgwyB,6,5,5,3,3,2,6,7,6,7,7,7,7,10.197,160.099,160.902,15,5,3,2,1,2,4,2,1,2,6,6,6,118.087,137.752,138.786,12,5,1,6,2,2,3,1,2,8.812,29.138,30.733,8,6,1,2,1,2,5,40.517,89.053,90.474,7,6,5,6,6,5,7,3,4,6,2,4,4,1,5,6,7,3,7,7,7,7,4,1,7,7.362,98.636,100.782,26,7,7,6,6,6,7,7,7,7,7,8.153,30.339,32.365,10,1,3,7,6,2,3,7,2,3,3,3.299,43.654,44.398,13,5,11.04,11.04,20.824,1,5,3,5,3,3,6,6,3,9.963,43.463,45.496,8,5,7,6,6,7,8.523,46.369,47.839,8,11.627,81.779,83.571,11,5,7,6,2,1,5,1,3,5,3,3,5,3,5,12.429,23.154,28.016,5,1,3,3,1,1,3,3,2,1,2,5,5,5,5,5,5,4,1,5,4,9.501,51.679,52.981,20,2,3,5,6,5,5,5,6,5.541,30.19,31.341,8,5,3,1,5,4,3,14.889,209.123,212.595,6,6,6,3,3,3,5,6.362,86.542,87.92,6,7,6,3,3,1,6,6,7,7,7,6,7.961,45.874,47.201,11,1,19,1,160,5,8,1,4,1,3.29,60,7,4,1,5,3,3,1,1,2,1,Spring 2025 OBHR 33000-006 LEC
R_1TH62k7DVc9ebtS,5,7,6,5,7,2,1,1,7,5,1,5,3,7.095,104.788,105.279,21,6,7,7,7,5,1,5,7,7,2,1,1,4.054,39.106,41.471,12,6,7,2,2,5,6,7,1,2.447,27.568,32.792,16,1,7,5,7,7,6,4.145,29.963,30.659,8,6,6,1,5,7,1,7,7,1,5,5,7,2,3,4,6,3,3,5,7,6,5,2,5,4.075,113.277,114.122,35,7,7,7,7,7,5,6,6,6,7,3.011,40.207,47.101,23,7,2,1,3,2,7,6,3,7,1,5.965,27.588,28.948,10,2,0.231,16.614,22.285,11,7,1,6,1,1,7,5,1,10.119,54.766,55.51,13,7,2,2,2,1,6.672,29.72,31.474,9,5.353,63.815,65.535,10,3,6,4,2,1,1,1,3,5,7,7,7,7,7,3.789,14.675,15.992,11,5,5,5,5,5,4,4,5,4,4,1,1,1,2,1,1,1,2,2,1,3,62.491,63.937,35,7,5,7,7,7,7,7,7,4.315,21.887,22.666,10,7,7,6,3,7,7,7.166,89.465,90.485,9,3,5,5,3,6,5,8.827,44.194,45.946,11,5,7,7,2,1,3,2,2,2,5,6,21.663,65.542,66.453,18,1,21,0,183,6,4,1,4,1,4,93,4,4,4,7,3,3,4,5,5,1,Spring 2025 OBHR 33000-005 LEC
R_3msfpleRAtAX2eJ,5,7,4,6,5,4,6,7,7,5,7,7,7,5.763,41.452,42.775,13,7,7,7,7,6,7,4,3,2,3,3,2,9.072,57.203,58.21,9,6,6,1,7,7,6,6,1,12.483,29.975,31.005,8,2,5,5,6,5,7,34.844,45.903,46.605,6,5,5,7,6,6,5,7,2,2,7,4,6,3,5,2,7,6,2,7,6,7,2,3,4,159.954,289.336,289.737,27,7,7,7,7,5,7,7,7,7,7,5.369,17.902,19.03,10,7,3,1,6,3,1,4,5,6,4,24.617,58.646,59.15,12,2,19.177,19.177,20.057,1,7,1,4,4,1,7,7,1,3.797,35.586,36.676,12,5,4,5,4,6,10.953,30.365,30.977,6,3.203,83.347,85.109,11,1,7,3,2,1,1,2,5,5,4,2,5,3,4,192.805,206.084,206.802,7,3,5,5,5,5,4,5,5,5,5,1,1,3,4,3,3,1,1,4,3,43.228,75.052,76.333,23,7,4,6,7,7,5,3,5,37.781,53.39,54.537,9,5,6,6,5,4,3,362.996,374.74,375.081,7,3,5,2,2,5,5,55.448,72.525,73.048,8,6,6,6,4,2,6,2,6,7,7,6,5.705,58.815,60.002,11,1,19,0,170,5,10,1,4,1,2.6,85,6,4,3,5,4,5,3,4,4,1,Spring 2025 OBHR 33000-008 LEC
R_1Jefn60TGVW1pbb,6,6,6,6,6,6,6,6,6,6,6,6,6,19.814,57.213,59.971,13,5,5,5,5,5,5,5,5,5,5,5,5,23.63,34.716,35.1,9,5,5,5,5,5,5,5,5,0.952,4.252,5.458,8,6,6,6,6,6,6,3.345,13.67,14.661,7,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,34.365,35.69,24,6,6,6,6,6,6,6,6,6,6,4.792,13.626,18.749,10,5,5,5,5,5,5,5,5,5,5,1.067,5.751,6.374,10,3,16.668,16.668,17.824,1,5,5,5,5,5,5,5,5,4.21,8.211,8.985,8,4,4,4,4,4,7.446,204.661,206.568,6,91.372,173.938,175.044,12,2,4,2,2,2,2,1,3,2,6,6,6,6,6,4.677,8.461,9.268,5,5,4,5,4,4,4,5,5,5,5,1,2,2,3,2,2,1,1,1,1,13.804,46.92,48.412,22,5,5,5,5,5,5,5,5,3.086,7.337,8.461,8,6,6,6,6,6,6,4.083,25.034,25.84,8,5,5,5,5,5,5,1.186,4.252,5.2,7,5,5,5,5,5,5,5,5,5,5,5,89.493,97.127,100.118,11,0,19,1,150,5,8,4,4,2,2.7,85,4,4,6,6,5,5,3,3,3,3,Spring 2025 OBHR 33000-005 LEC
R_1GOIazq43opopX6,5,2,3,3,5,6,5,6,6,6,5,6,7,1.594,170.902,172.089,16,5,1,2,1,3,2,2,2,3,6,3,5,2.732,20.694,24.496,8,6,6,5,3,6,3,6,1,9.752,24.017,24.916,10,5,4,6,2,1,6,11.918,29.026,30.177,7,5,2,2,3,1,7,5,3,6,6,3,2,1,6,3,7,2,6,7,6,7,7,2,6,3.543,74.652,75.009,30,3,1,5,2,5,7,6,7,6,7,2.055,72.906,74.085,12,1,3,6,6,1,5,3,1,5,3,9.539,81.101,109.15,12,4,15.188,15.188,21.369,1,5,3,6,1,1,7,5,2,14.728,37.38,38.931,9,5,5,3,5,6,10.579,25.961,27.007,7,9.437,47.954,48.311,18,2,6,3,1,1,3,2,3,5,3,3,3,5,2,11.11,33.786,35.266,7,4,5,4,2,2,4,4,1,2,2,5,5,2,5,5,5,2,1,4,1,10.654,44.048,47.278,24,5,1,6,3,5,6,6,5,9.138,33.057,34.898,14,5,2,1,5,3,3,4.489,26.375,26.696,11,6,5,6,3,4,5,7.493,20.359,21.682,8,5,5,6,1,2,6,6,5,7,7,6,3.776,87.114,87.822,19,1,19,0,170,5,10,4,4,1,3.9,90,7,5,2,1,4,3,3,4,2,2,Spring 2025 OBHR 33000-006 LEC
R_7YPpjiYSFMTizO8,5,7,5,7,7,4,7,7,7,7,1,5,7,3.651,43.187,45.368,13,7,7,7,5,7,1,7,7,7,1,1,1,4.693,12.735,14.174,8,3,3,5,7,4,4,3,6,3.213,29.188,31.001,8,1,7,7,7,7,7,3.011,10.95,11.8,6,7,4,7,7,7,4,7,7,1,7,7,7,1,6,7,3,7,7,4,3,4,3,1,7,4.324,100.707,101.831,26,7,7,7,7,7,7,7,7,7,7,4.115,20.837,21.989,10,7,1,1,2,3,4,5,7,7,1,8.434,35.645,38.37,10,4,4.814,4.814,6.586,1,7,1,7,1,1,7,7,1,6.521,28.249,29.656,9,7,1,1,1,1,7.365,18.761,19.952,5,20.177,57.272,58.163,10,2,3,4,3,2,4,1,3,3,7,7,7,7,7,2.189,7.848,8.975,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,2,2,1,1,1,1,3.723,26.449,28.074,20,7,7,7,7,7,7,7,7,7.716,17.783,19.646,8,7,7,7,7,7,7,6.091,13.552,15.52,6,7,4,7,7,7,7,2.214,12.735,14.146,6,7,7,7,5,4,4,5,1,3,1,6,6.126,47.609,48.676,12,0,19,0,172,5,8,"1,4",4,1,3.85,20,7,7,2,1,2,2,1,1,1,1,Spring 2025 OBHR 33000-005 LEC
R_5UXbcyOxZiVhGnU,4,3,2,1,2,5,3,2,5,4,1,3,4,3.298,13.013,13.769,13,6,7,7,7,5,2,7,6,6,2,2,3,99.313,215.155,215.759,8,2,2,3,2,5,2,4,3,4.304,12.687,13.792,10,2,4,4,4,2,4,1.499,5.148,12.985,6,6,4,6,6,6,4,6,5,2,5,5,6,4,2,2,1,2,2,1,2,2,2,2,2,4.039,399.445,399.8,29,5,3,3,1,3,3,6,2,3,4,0.961,9.473,11.76,10,6,2,2,2,5,6,6,6,7,2,6.862,35.11,36.431,11,1,6.488,12.971,13.34,6,4,6,6,5,6,4,6,6,6.646,15.395,17.032,11,5,4,3,3,4,1.115,3.098,4.217,5,12.147,18.749,21.983,10,4,4,3,3,4,3,3,3,2,2,2,2,4,2,1.872,4.838,10.525,5,3,3,3,4,4,3,3,3,2,3,1,1,1,3,1,2,2,1,3,2,57.018,101.282,103.171,23,6,6,5,4,5,4,4,6,0.861,6.544,7.481,8,4,6,5,5,2,3,1.209,5.027,6.545,6,5,2,5,5,6,6,13.897,26.413,27.249,6,4,7,4,4,4,2,4,4,4,5,6,8.176,22.092,23.863,13,1,19,0,180,6,1,1,4,1,3.3,80,5,3,6,5,5,4,2,4,4,2,Spring 2025 OBHR 33000-006 LEC
R_7ONvOXO5CWNmWEx,6,6,5,6,6,3,5,5,5,2,2,2,3,7.884,107.285,108.502,18,6,6,6,5,5,2,5,4,5,2,2,2,4.05,34.823,39.199,9,6,6,2,2,6,5,5,1,4.964,37.953,40.155,10,1,6,4,6,6,5,6.341,66.729,72.643,9,6,5,5,6,7,4,4,3,2,5,6,6,3,5,4,2,5,4,3,3,4,2,3,2,4.163,124.745,129.84,35,6,7,7,7,6,5,5,5,5,5,4.983,49.457,50.443,12,6,4,2,3,3,5,3,3,5,2,6.329,51.114,52.749,12,3,19.678,19.678,30.602,1,7,1,7,1,1,6,6,1,7.332,75.073,95.216,11,2,2,3,2,2,8.763,31.646,33.855,7,6.433,89.193,92.9,12,2,4,3,1,2,3,2,6,5,4,4,5,4,4,6.583,30.961,43.664,6,4,3,5,4,4,4,5,4,5,4,1,1,1,1,1,1,1,1,2,1,5.728,46.921,53.271,25,6,5,6,6,6,6,6,6,5.784,34.403,36.032,10,6,7,5,6,3,6,8.371,73.972,81.909,7,4,2,5,5,6,5,7.519,32.117,35.843,7,6,6,6,5,6,3,1,2,3,4,6,9.903,100.128,115.569,12,1,19,0,195,5,11,1,4,1,3.9,90,7,6,0,3,2,3,1,1,2,1,Spring 2025 OBHR 33000-008 LEC
